	순번	이름	학과	남/여	성별코드	학년	이론	실기	합계	평균
0	1.0	송윤재	환경디자인원예학과	여자	2	2학년	80	62	142	71.0
1	2.0	강민형	사회복지학과	여자	2	3학년	63	84	147	73.5
2	3.0	강예린	환경디자인원예학과	여자	2	3학년	93	79	172	86.0
3	4.0	고보빈	경영학과	여자	2	4학년	78	93	171	85.5
4	5.0	김다정	보건관리학과	여자	2	3학년	98	69	167	83.5
5	6.0	김두언	상담심리학과	남자	1	2학년	68	71	139	69.5
6	7.0	김민지	중국어과	여자	2	3학년	63	81	144	72.0
7	8.0	김수현	화학생명과학과	여자	2	3학년	63	77	140	70.0
8	9.0	김영서	중국어과	여자	2	4학년	87	94	181	90.5
9	10.0	김예은	사회복지학과	여자	2	2학년	75	89	164	82.0
10	11.0	김태우	식품영양학과	남자	1	3학년	75	92	167	83.5
11	12.0	노예빈	경영정보학과	여자	2	3학년	85	81	166	83.0
12	13.0	류원선	경영학과	남자	1	3학년	76	92	168	84.0
13	14.0	박규리	화학생명과학과	여자	2	3학년	73	100	173	86.5
14	15.0	박영수	경영학과	남자	1	4학년	71	80	151	75.5
15	16.0	박진아	건축학과	여자	2	3학년	69	66	135	67.5
16	17.0	박현경	경영학과	여자	2	2학년	76	62	138	69.0
17	18.0	백주연	중국어과	여자	2	4학년	83	88	171	85.5
18	19.0	서예선	IT융합공학과	여자	2	2학년	96	62	158	79.0
19	20.0	송수빈	음악학과	여자	2	4학년	72	63	135	67.5
20	21.0	안연주	영어영문학전공	여자	2	4학년	80	99	179	89.5
21	22.0	양정원	영어영문학전공	여자	2	3학년	72	77	149	74.5
22	23.0	염효석	보건관리학과	남자	1	3학년	66	86	152	76.0
23	24.0	윤예지	일본어과	여자	2	3학년	93	93	186	93.0
24	25.0	윤채린	경영정보학과	여자	2	3학년	66	97	163	81.5
25	26.0	이기상	일본어과	남자	1	4학년	76	74	150	75.0
26	27.0	이민영	경영학과	여자	2	3학년	83	68	151	75.5
27	28.0	이아람	동물생명자원학과	여자	2	4학년	76	71	147	73.5
28	29.0	이여경	음악학과	여자	2	4학년	82	96	178	89.0
29	30.0	이정현	환경디자인원예학과	여자	2	1학년	87	69	156	78.0
30	31.0	이주연	경영정보학과	여자	2	2학년	69	98	167	83.5
31	32.0	장채연	간호학과	여자	2	3학년	62	81	143	71.5
32	33.0	정민주	음악학과	여자	2	3학년	95	77	172	86.0
33	34.0	정예슬	간호학과	여자	2	1학년	93	61	154	77.0
34	35.0	홍지호	영어통번역전공	남자	1	4학년	89	84	173	86.5
